id,step,category,artefact,description,format_or_type,origin_or_source,priority,maps_to
REF-01,Step1,Reference-Section,Global navigation + product mega-menu,Sticky top nav reused for Curavias,HTML/Fluent,MS Healthcare page,P0,Nav
REF-02,Step1,Reference-Section,Hero band,Headline+subhead+dual CTA+media,HTML/Media,MS Healthcare page,P0,Hero
REF-03,Step1,Reference-Section,Trust/value-pillar strip,Reused as KPI+value strip,Icons,MS Healthcare page,P0,KPIs
REF-04,Step1,Reference-Section,Alternating feature rows,Image+text+link capability rows,HTML/Image,MS Healthcare page,P0,Features
REF-05,Step1,Reference-Section,Product showcase cards,Reused as 7-agent card grid,Icon/Image,MS Healthcare page,P0,Agents
REF-06,Step1,Reference-Section,Real-world impact/testimonial,Quote card + stat counters,Portrait/Quote,MS Healthcare page,P1,Reviews
REF-07,Step1,Reference-Section,Products index/grid,Reused as 3 experiences grid,Icons,MS Healthcare page,P1,Experiences
REF-08,Step1,Reference-Section,Closing CTA band,Reused as Naechste Schritte,HTML,MS Healthcare page,P0,CTA
REF-09,Step1,Reference-Section,Social/follow bar,Contact + MIH attribution,Icons,MS Healthcare page,P2,Footer
REF-10,Step1,Reference-Section,Global footer,Footer + disclaimer,HTML,MS Healthcare page,P0,Footer
REF-DS-01,Step1,Design-System,Typography scale,Segoe UI display+body hierarchy,Tokens,MS Healthcare page,P0,CD/CI
REF-DS-02,Step1,Design-System,Colour system,MS blue + Curavias teal/green + Swiss red,Tokens,MS Healthcare page,P0,CD/CI
REF-DS-03,Step1,Design-System,Fluent components,Rounded cards/pill buttons/icons,Components,MS Healthcare page,P0,CD/CI
REF-DS-04,Step1,Design-System,Grid & layout,12-col responsive grid,Layout,MS Healthcare page,P0,CD/CI
REF-DS-05,Step1,Design-System,Photography style,Warm human clinical settings,Guidance,MS Healthcare page,P1,CD/CI
REF-DS-06,Step1,Design-System,Motion/video,Hero video pattern,Guidance,MS Healthcare page,P1,CD/CI
REF-DS-07,Step1,Design-System,CTA pattern,Primary+secondary pairing,Components,MS Healthcare page,P0,CD/CI
REF-DS-08,Step1,Design-System,Accessibility,WCAG 2.1 AA,Guidance,MS Healthcare page,P0,CD/CI
REF-DS-10,Step1,Design-System,SEO/metadata pattern,Title/meta/OG/headings,Guidance,MS Healthcare page,P1,CD/CI
APP-EXP-01,Step2,App-Experience,React SPA shell (hcc-app-fluent),Fluent UI app host,Microsoft.App/staticApp,SD/bom.yaml,P0,FR-CX-001
APP-EXP-02,Step2,App-Experience,Entra auth (MSAL)+role routing,Sign-in+role mapping+telemetry,Auth,SD/SECURITY,P0,NFR-SEC-001
APP-EXP-03,Step2,App-Experience,Copilot-Drawer,NL query grounded answer + citations,Component,Flyer/PRD,P0,FR-CX-002
APP-EXP-04,Step2,App-Experience,Whiteboard command-center,Configurable KPI cards per role,Component,Flyer/PRD,P0,FR-CX-004
APP-EXP-05,Step2,App-Experience,HITL approval modal,Log+release every outward action,Component,Flyer/PRD,P0,NFR-AI-001
APP-EXP-06,Step2,App-Experience,Citations/evidence panel,Source refs + provenance,Component,PRD,P0,FR-CX-006
APP-EXP-08,Step2,App-Experience,Bed-capacity dashboard,Occupancy+pressure+DQ,Page,PRD,P0,FR-VIZ-001
APP-EXP-09,Step2,App-Experience,OR-steering dashboard,Utilisation+on-time+idle-slot,Page,PRD,P0,FR-VIZ-002
APP-EXP-10,Step2,App-Experience,Power BI embeds,Embedded operational reports,Embed,bom.yaml,P1,FR-CX-005
APP-EXP-11,Step2,App-Experience,Design tokens/Fluent theme,Curavias theme aligned to site,Tokens,Step1,P0,CD/CI
APP-EXP-13,Step2,App-Experience,Interaction telemetry+audit,Prompt/response/action events,Telemetry,PRD,P0,FR-GOV-001
APP-AGT-BMCA,Step2,App-Agent,Bettenmanagement-Copilot surface,Occupancy+pressure+candidates,Surface,Flyer,P0,FR-DC-001
APP-AGT-OOA,Step2,App-Agent,Belegungs-Forecast-Copilot surface,72h forecast per specialty,Surface,Flyer,P0,FR-FC-001
APP-AGT-DCA,Step2,App-Agent,Entlassungs-Copilot surface,Ranked discharge+handoff,Surface,Flyer,P0,FR-DC-002
